date,y_true,y_pred,mae
2025-05-04,95856.42,95904.94539552883,48.52539552884991
2025-05-04,95856.42,95904.94539552883,48.52539552884991
2025-05-04,95856.42,95904.94539552883,48.52539552884991
2025-05-04,95856.42,95593.64440000002,262.775599999979
2025-05-04,95856.42,95383.2177,473.2022999999899
2025-05-04,1833.52,1790.7163999999982,42.80360000000178
2025-05-04,599.36,586.7116000000008,12.648399999999242
2025-05-04,95856.42,95352.95120000004,503.46879999994417
2025-05-04,1833.52,1790.9066999999989,42.61330000000112
2025-05-04,599.36,588.4828000000007,10.877199999999334
2025-05-04,95856.42,95611.32060000002,245.0993999999773
2025-05-04,1833.52,1802.518899999999,31.001100000001315
2025-05-04,599.36,587.4143000000007,11.945699999999306
2025-05-04,95856.42,95606.49420000002,249.9257999999827
2025-05-04,1833.52,1800.922999999998,32.597000000002026
2025-05-04,599.36,590.9986000000008,8.361399999999207
2025-05-04,95869.9,95886.712,16.812000000019907
2025-05-04,1833.85,1801.6183000000003,32.231699999999364
2025-05-04,588.95,601.3872000000003,12.437200000000304
2025-05-05,94303.1,96380.26499999993,2077.164999999921
2025-05-05,1809.09,1827.067899999999,17.97789999999918
2025-05-05,589.98,594.2121000000011,4.232100000001083
2025-05-06,94727.0,95111.379,384.3790000000008
2025-05-06,1819.9,1806.1325,13.76750000000061
2025-05-06,598.69,599.0918000000008,0.401800000000776
2025-05-07,96816.7,97291.10999999996,474.40999999995984
2025-05-07,1816.54,1750.477199999999,66.06280000000106
2025-05-07,602.89,599.6919000000005,3.1980999999994992
2025-05-08,97031.4,96688.91199999995,342.48800000002666
2025-05-08,1811.43,1820.0106999999991,8.58069999999907
2025-05-08,607.97,599.8076000000007,8.162399999999366
2025-05-09,103228.0,99676.37500000007,3551.6249999999272
2025-05-09,2208.36,1979.6254,228.7346
2025-05-09,624.4,606.1900000000003,18.20999999999969
2025-05-10,102976.9,102850.29699999998,126.60300000001736
2025-05-10,2345.79,2233.5318000000007,112.2581999999993
2025-05-10,673.08,622.8233999999999,50.25660000000016
2025-05-11,104800.0,103649.014,1150.98599999999
2025-05-11,2585.0,2564.934899999997,20.06510000000253
2025-05-11,663.8,630.1046000000001,33.69539999999984
2025-05-12,104119.0,102336.167,1782.8330000000133
2025-05-12,2515.58,2530.040799999998,14.460799999998017
2025-05-12,654.61,629.2115999999996,25.39840000000038
2025-05-13,102825.0,102484.79499999998,340.2050000000163
2025-05-13,2495.4,2475.378099999997,20.021900000002915
2025-05-13,646.96,634.2752999999998,12.684700000000248
2025-05-14,104156.7,103549.98399999995,606.716000000044
2025-05-14,2680.2,2677.2500999999984,2.949900000001435
2025-05-14,661.1,634.8276999999995,26.27230000000054
2025-05-15,103589.7,102539.82999999994,1049.8700000000536
2025-05-15,2610.35,2683.9971000000014,73.6471000000015
2025-05-15,648.88,634.8211999999993,14.0588000000007
2025-05-16,103761.7,103645.209,116.49099999999451
2025-05-16,2547.87,2555.1092999999987,7.239299999998821
2025-05-16,657.18,646.9393999999996,10.240600000000311
2025-05-17,103500.1,103439.95899999994,60.14100000006147
2025-05-17,2537.43,2625.397700000001,87.96770000000106
2025-05-17,640.35,643.7247,3.3746999999999616
2025-05-18,103169.1,103407.86199999994,238.76199999992969
2025-05-18,2475.74,2495.397000000001,19.657000000001062
2025-05-18,642.32,643.2933999999998,0.9733999999997422
2025-05-19,106525.6,103809.10100000004,2716.498999999967
2025-05-19,2497.69,2527.8150999999984,30.125099999998383
2025-05-19,642.65,645.1892999999993,2.5392999999993435
2025-05-20,105637.7,101128.66100000004,4509.038999999946
2025-05-20,2528.52,2444.0254000000014,84.49459999999863
2025-05-20,651.27,648.1654999999988,3.104500000001167
2025-05-21,106855.6,102727.78399999996,4127.816000000035
2025-05-21,2524.81,2540.3707999999974,15.56079999999747
2025-05-21,651.35,647.1947999999992,4.155200000000832
2025-05-22,109675.1,103347.22099999996,6327.879000000059
2025-05-22,2552.1,2564.2056,12.105600000000322
2025-05-22,685.61,649.8181999999994,35.79180000000065
2025-05-23,111711.1,108050.43399999982,3660.6660000001866
2025-05-23,2664.5,2633.1960000000017,31.30399999999827
2025-05-23,690.32,671.3024999999997,19.017500000000386
2025-05-24,107333.5,108015.54999999989,682.0499999998865
2025-05-24,2526.82,2628.8331,102.01309999999968
2025-05-24,663.33,647.0400999999998,16.289900000000216
2025-05-25,107824.2,108600.9539999999,776.753999999899
2025-05-25,2531.68,2537.1876,5.5075999999994565
2025-05-25,665.71,656.1417999999993,9.56820000000073
2025-05-26,109040.4,107833.68500000008,1206.7149999999235
2025-05-26,2551.43,2497.9591,53.470900000000256
2025-05-26,670.83,664.3862000000007,6.443799999999328
2025-05-27,109468.6,109037.97,430.6300000000047
2025-05-27,2563.64,2555.2207999999987,8.419200000001183
2025-05-27,672.81,666.6732000000002,6.136799999999766
2025-05-28,109004.9,108882.81900000008,122.08099999991828
2025-05-28,2663.04,2614.848,48.19200000000001
2025-05-28,684.56,667.4976000000004,17.06239999999957
2025-05-29,107811.7,109008.92299999997,1197.222999999969
2025-05-29,2682.41,2596.175499999998,86.23450000000184
2025-05-29,689.67,680.2707999999996,9.399200000000404
2025-05-30,105632.4,107395.11199999998,1762.711999999985
2025-05-30,2631.26,2657.6657,26.4056999999998
2025-05-30,673.64,672.9514000000004,0.6885999999996102
2025-05-31,104019.7,103191.09099999996,828.6090000000258
2025-05-31,2531.46,2587.729699999999,56.26969999999892
2025-05-31,649.22,648.4713999999994,0.7486000000005788
2025-06-01,104662.0,103700.26599999989,961.7340000001132
