Date,Open,High,Low,Close,Volume
2024-05-04,587.0,593.6,582.5,585.7,197129.251
2024-05-05,585.7,595.0,579.3,592.0,180458.236
2024-05-06,592.0,602.3,583.1,588.2,278669.005
2024-05-07,588.2,600.4,576.0,576.5,289488.709
2024-05-08,576.5,590.0,574.4,588.6,297016.617
2024-05-09,588.6,605.8,586.3,596.8,464857.601
2024-05-10,596.8,597.0,581.5,585.6,296215.516
2024-05-11,585.7,594.5,580.8,592.2,210698.305
2024-05-12,592.2,600.1,587.3,594.8,191190.562
2024-05-13,594.8,598.4,585.2,591.7,389810.286
2024-05-14,591.7,593.1,562.0,567.1,453308.316
2024-05-15,567.1,587.3,560.0,581.0,402812.993
2024-05-16,581.0,586.6,565.1,569.2,411937.056
2024-05-17,569.2,584.5,568.6,580.9,236919.616
2024-05-18,580.9,581.9,574.2,580.3,168074.711
2024-05-19,580.3,581.9,571.3,574.5,142157.485
2024-05-20,574.6,602.0,568.8,599.6,469252.806
2024-05-21,599.6,631.4,593.3,618.5,1023559.613
2024-05-22,618.5,626.3,610.1,614.8,404848.487
2024-05-23,614.8,617.5,580.0,599.3,607671.947
2024-05-24,599.4,605.5,588.3,600.3,251965.176
2024-05-25,600.3,606.7,599.5,602.4,121538.958
2024-05-26,602.3,605.4,598.0,600.2,122983.66
2024-05-27,600.3,614.4,599.6,603.9,229302.377
2024-05-28,603.9,606.0,593.8,601.7,284862.985
2024-05-29,601.7,603.6,593.1,595.7,212706.254
2024-05-30,595.7,602.2,586.5,595.1,225452.344
2024-05-31,595.1,599.0,590.0,593.7,168608.054
2024-06-01,593.8,608.4,593.1,601.9,156464.894
2024-06-02,601.9,606.0,596.0,602.9,198299.996
2024-06-03,602.8,638.8,601.2,626.4,654161.467
2024-06-04,626.4,688.2,624.8,685.7,736322.6803
2024-06-05,685.7,716.0,684.7,698.8,673820.5652
2024-06-06,698.8,721.8,692.0,711.2,544042.9592
2024-06-07,711.1,712.0,658.9,684.0,594753.99
2024-06-08,684.0,694.9,677.9,682.7,216849.473
2024-06-09,682.7,684.8,670.3,673.0,173565.78
2024-06-10,673.1,674.8,613.3,625.1,692122.616
2024-06-11,625.1,629.0,595.8,602.5,640655.92
2024-06-12,602.5,635.4,591.3,619.4,454148.661
2024-06-13,619.4,619.9,595.6,599.8,313465.472
2024-06-14,599.8,612.5,590.0,603.3,279802.085
2024-06-15,603.3,609.7,601.3,608.2,122650.197
2024-06-16,608.2,611.8,601.1,610.8,104827.154
2024-06-17,610.9,612.6,591.4,604.3,235509.028
2024-06-18,604.3,605.2,575.0,588.6,459142.573
2024-06-19,588.6,605.9,586.6,599.3,260529.062
2024-06-20,599.3,608.0,584.6,587.7,289498.772
2024-06-21,587.7,589.3,577.8,586.1,191182.614
2024-06-22,586.2,591.4,581.0,591.1,100439.584
2024-06-23,591.1,593.2,576.0,577.5,141025.834
2024-06-24,577.5,582.0,551.2,568.1,356915.248
2024-06-25,568.1,580.0,566.4,578.2,177300.699
2024-06-26,578.3,584.7,567.4,573.0,154770.344
2024-06-27,573.1,584.7,566.4,581.7,199582.231
2024-06-28,581.8,585.3,565.6,567.4,210308.565
2024-06-29,567.4,573.9,566.9,570.0,99951.169
2024-06-30,570.0,585.3,568.3,582.2,169894.148
2024-07-01,582.3,588.3,576.2,576.9,188481.951
2024-07-02,576.9,582.0,573.9,580.1,144561.934
2024-07-03,580.1,581.0,550.5,556.7,288318.808
2024-07-04,556.7,558.1,511.6,513.6,511359.494
2024-07-05,513.5,516.1,454.8,497.7,992708.164
2024-07-06,497.8,530.7,496.0,526.0,226597.141
2024-07-07,526.0,526.6,488.4,490.7,279027.459
2024-07-08,490.7,524.2,471.0,510.6,580970.096
2024-07-09,510.5,520.8,506.5,516.9,203358.601
2024-07-10,516.9,529.4,511.3,524.7,205460.208
2024-07-11,524.7,545.1,520.1,524.8,262788.577
2024-07-12,524.9,537.5,517.0,533.8,207870.778
2024-07-13,533.9,539.4,527.3,532.4,161128.431
2024-07-14,532.5,547.7,531.2,544.8,148566.273
2024-07-15,544.9,586.8,543.8,585.3,335372.772
2024-07-16,585.3,587.5,554.4,576.2,347825.03
2024-07-17,576.3,584.0,564.3,568.9,198271.205
2024-07-18,568.9,579.6,561.6,571.9,153121.784
2024-07-19,572.0,598.7,565.0,593.4,331877.529
2024-07-20,593.4,597.9,586.7,593.1,144679.404
2024-07-21,593.2,603.4,581.5,602.5,243931.763
2024-07-22,602.5,605.6,580.3,587.2,212452.69
2024-07-23,587.3,593.5,577.2,581.9,214355.311
2024-07-24,582.0,589.1,570.4,574.9,160535.208
2024-07-25,574.9,576.6,553.1,570.6,286997.522
2024-07-26,570.7,582.8,570.2,580.9,155492.92
2024-07-27,580.9,592.8,572.6,581.6,184468.855
2024-07-28,581.6,584.9,574.5,583.9,92606.642
2024-07-29,583.9,598.0,572.2,574.3,213824.089
2024-07-30,574.3,588.3,566.6,588.2,165024.413
2024-07-31,588.1,592.9,574.7,576.5,194701.723
2024-08-01,576.5,578.0,553.7,575.1,280418.865
2024-08-02,575.2,577.6,540.2,542.9,283605.001
2024-08-03,542.9,545.3,521.3,529.6,245777.525
2024-08-04,529.7,532.2,486.5,496.9,390238.285
2024-08-05,496.9,499.9,400.0,464.2,2114679.75
2024-08-06,464.3,494.4,463.5,484.8,458815.007
2024-08-07,484.9,497.7,468.1,475.0,322182.487
2024-08-08,475.0,521.7,467.5,517.1,286744.608
2024-08-09,517.2,518.4,498.7,508.7,195125.106
2024-08-10,508.7,525.4,507.2,523.1,126212.238
2024-08-11,523.2,535.8,502.3,503.4,206038.714
2024-08-12,503.5,524.0,499.2,518.2,285951.347
2024-08-13,518.3,527.0,513.1,524.2,255029.497
2024-08-14,524.2,531.9,515.4,523.4,220850.011
2024-08-15,523.4,533.9,510.0,519.2,229628.306
2024-08-16,519.2,524.5,509.9,519.7,174036.141
2024-08-17,519.7,547.7,518.3,541.6,196365.586
2024-08-18,541.7,542.6,530.8,531.2,148890.018
2024-08-19,531.3,560.7,529.1,558.4,233275.352
2024-08-20,558.5,574.9,558.2,569.4,422053.693
2024-08-21,569.4,575.1,546.1,570.1,345601.77
2024-08-22,570.2,590.0,559.7,582.9,365020.284
2024-08-23,583.0,600.6,574.3,591.7,387772.663
2024-08-24,591.7,592.4,574.6,580.5,325168.897
2024-08-25,580.5,583.9,569.0,573.9,195984.559
2024-08-26,573.9,575.6,546.7,548.2,280985.576
2024-08-27,548.3,558.3,520.5,533.3,298073.974
2024-08-28,533.3,546.8,522.4,537.0,269794.777
2024-08-29,537.0,545.5,530.9,536.4,166187.113
2024-08-30,536.4,543.4,522.0,535.2,197825.895
2024-08-31,535.2,541.5,531.1,532.9,95954.072
2024-09-01,532.9,533.2,507.7,512.4,203698.867
2024-09-02,512.3,530.2,501.5,526.3,262984.426
2024-09-03,526.4,538.4,517.9,518.7,224481.65
2024-09-04,518.8,523.7,495.8,507.6,435892.306
2024-09-05,507.6,512.9,496.7,502.4,177237.32
2024-09-06,502.4,509.9,471.3,487.2,357704.727
2024-09-07,487.3,499.5,482.9,493.5,140367.312
2024-09-08,493.6,506.9,490.7,503.1,135677.173
2024-09-09,503.2,525.7,501.7,518.7,207528.54
2024-09-10,518.7,524.3,509.2,517.0,161417.812
2024-09-11,517.0,535.4,506.5,530.1,204079.602
2024-09-12,530.2,548.7,530.0,544.5,273877.8
2024-09-13,544.6,559.7,538.7,556.4,276743.273
2024-09-14,556.4,559.2,547.5,553.3,138432.964
2024-09-15,553.4,561.9,546.0,553.4,205254.79
2024-09-16,553.4,555.2,527.0,533.7,267953.69
2024-09-17,533.7,552.7,529.0,546.2,195288.36
2024-09-18,546.2,559.7,536.8,559.5,201182.985
2024-09-19,559.5,572.2,553.0,567.0,308427.742
2024-09-20,566.9,577.1,555.0,569.0,257077.709
2024-09-21,569.1,590.0,566.4,588.6,208752.23
2024-09-22,588.7,594.6,576.4,588.7,202978.791
2024-09-23,588.7,616.0,583.4,604.5,376010.207
2024-09-24,604.5,613.4,598.5,605.9,261622.131
2024-09-25,605.8,608.3,584.2,587.4,220793.948
2024-09-26,587.5,609.0,580.8,596.3,334337.474
2024-09-27,596.3,614.7,596.0,606.8,356901.64
2024-09-28,606.9,618.6,594.5,601.1,262593.381
2024-09-29,601.1,602.8,592.4,595.6,160103.084
2024-09-30,595.6,595.8,563.5,567.4,324086.737
2024-10-01,567.4,583.1,536.8,547.3,476372.945
2024-10-02,547.2,558.3,535.4,542.5,282193.663
2024-10-03,542.5,550.8,534.3,544.8,220702.342
2024-10-04,544.8,557.8,541.8,555.3,186169.628
2024-10-05,555.3,565.2,551.6,563.0,124906.382
2024-10-06,563.0,571.9,561.1,570.3,106787.34
2024-10-07,570.4,581.8,563.5,564.3,213046.676
2024-10-08,564.4,586.8,559.5,580.8,286276.177
2024-10-09,580.8,586.0,566.2,570.7,324396.054
2024-10-10,570.8,572.9,551.5,563.9,178198.309
2024-10-11,563.8,577.5,560.1,573.6,185095.358
2024-10-12,573.7,579.2,573.6,576.6,135773.959
2024-10-13,576.6,578.5,564.9,572.2,118779.976
2024-10-14,572.3,592.3,558.9,589.1,252803.176
2024-10-15,589.0,599.9,577.7,594.5,324305.897
2024-10-16,594.6,605.5,589.7,600.9,259951.129
2024-10-17,601.0,606.3,585.1,592.9,194199.416
2024-10-18,592.9,602.4,591.8,599.2,136743.669
2024-10-19,599.3,601.4,595.4,597.7,78940.239
2024-10-20,597.8,607.3,593.1,605.9,123572.057
2024-10-21,605.9,611.8,591.5,598.8,275880.778
2024-10-22,598.8,609.0,587.0,593.8,203756.934
2024-10-23,593.8,595.0,573.0,584.9,225698.465
2024-10-24,584.9,598.0,583.3,594.5,145781.537
2024-10-25,594.5,597.6,565.8,575.3,254214.693
2024-10-26,575.3,587.1,571.6,583.4,119987.437
2024-10-27,583.4,591.0,581.7,589.2,94455.099
2024-10-28,589.3,604.6,585.5,601.1,189815.882
2024-10-29,601.1,612.2,599.9,606.3,301555.357
2024-10-30,606.3,606.7,594.1,595.6,186706.281
2024-10-31,595.5,596.5,571.1,576.6,279156.175
2024-11-01,576.5,585.5,567.7,573.1,242255.184
2024-11-02,573.1,577.2,562.4,568.6,143716.603
2024-11-03,568.6,569.3,547.0,557.7,217508.468
2024-11-04,557.7,564.8,543.6,552.5,264951.833
2024-11-05,552.51,572.8,551.22,563.21,211437.753
2024-11-06,563.21,595.0,563.0,592.22,535934.927
2024-11-07,592.22,611.2,587.01,598.26,377600.506
2024-11-08,598.27,605.9,588.1,597.82,318752.718
2024-11-09,597.82,638.0,597.51,624.66,772172.655
2024-11-10,624.67,644.2,611.62,627.33,812783.747
2024-11-11,627.34,665.54,613.0,659.63,1006384.738
2024-11-12,659.63,667.4,610.0,625.33,1166459.013
2024-11-13,625.42,638.06,598.6,620.68,1034672.114
2024-11-14,620.68,660.4,610.5,622.3,1060649.7
2024-11-15,622.3,628.3,603.4,619.37,654908.221
2024-11-16,619.37,633.7,617.5,622.69,447887.923
2024-11-17,622.69,647.6,605.2,618.9,595820.376
2024-11-18,618.93,630.91,612.1,618.93,483382.136
2024-11-19,618.93,621.41,605.21,615.5,420441.21
2024-11-20,615.49,620.78,600.0,605.39,411142.628
