Date,Open,High,Low,Close,Volume
2024-09-15,553.4,561.9,546.0,553.4,205254.79
2024-09-16,553.4,555.2,527.0,533.7,267953.69
2024-09-17,533.7,552.7,529.0,546.2,195288.36
2024-09-18,546.2,559.7,536.8,559.5,201182.985
2024-09-19,559.5,572.2,553.0,567.0,308427.742
2024-09-20,566.9,577.1,555.0,569.0,257077.709
2024-09-21,569.1,590.0,566.4,588.6,208752.23
2024-09-22,588.7,594.6,576.4,588.7,202978.791
2024-09-23,588.7,616.0,583.4,604.5,376010.207
2024-09-24,604.5,613.4,598.5,605.9,261622.131
2024-09-25,605.8,608.3,584.2,587.4,220793.948
2024-09-26,587.5,609.0,580.8,596.3,334337.474
2024-09-27,596.3,614.7,596.0,606.8,356901.64
2024-09-28,606.9,618.6,594.5,601.1,262593.381
2024-09-29,601.1,602.8,592.4,595.6,160103.084
2024-09-30,595.6,595.8,563.5,567.4,324086.737
2024-10-01,567.4,583.1,536.8,547.3,476372.945
2024-10-02,547.2,558.3,535.4,542.5,282193.663
2024-10-03,542.5,550.8,534.3,544.8,220702.342
2024-10-04,544.8,557.8,541.8,555.3,186169.628
2024-10-05,555.3,565.2,551.6,563.0,124906.382
2024-10-06,563.0,571.9,561.1,570.3,106787.34
2024-10-07,570.4,581.8,563.5,564.3,213046.676
2024-10-08,564.4,586.8,559.5,580.8,286276.177
2024-10-09,580.8,586.0,566.2,570.7,324396.054
2024-10-10,570.8,572.9,551.5,563.9,178198.309
2024-10-11,563.8,577.5,560.1,573.6,185095.358
2024-10-12,573.7,579.2,573.6,576.6,135773.959
2024-10-13,576.6,578.5,564.9,572.2,118779.976
2024-10-14,572.3,592.3,558.9,589.1,252803.176
2024-10-15,589.0,599.9,577.7,594.5,324305.897
2024-10-16,594.6,605.5,589.7,600.9,259951.129
2024-10-17,601.0,606.3,585.1,592.9,194199.416
2024-10-18,592.9,602.4,591.8,599.2,136743.669
2024-10-19,599.3,601.4,595.4,597.7,78940.239
2024-10-20,597.8,607.3,593.1,605.9,123572.057
2024-10-21,605.9,611.8,591.5,598.8,275880.778
2024-10-22,598.8,609.0,587.0,593.8,203756.934
2024-10-23,593.8,595.0,573.0,584.9,225698.465
2024-10-24,584.9,598.0,583.3,594.5,145781.537
2024-10-25,594.5,597.6,565.8,575.3,254214.693
2024-10-26,575.3,587.1,571.6,583.4,119987.437
2024-10-27,583.4,591.0,581.7,589.2,94455.099
2024-10-28,589.3,604.6,585.5,601.1,189815.882
